Sigla;CO_IES;Facebook;Youtube;Twitter;Linkedin;Flickr;Instagram
CEFET-MG;594;https://www.facebook.com/cefetmg;https://www.youtube.com/c/cefetmgoficial;https://twitter.com/cefet_mg;null;null;https://www.instagram.com/cefetmg/
CEFET-RJ;593;https://www.facebook.com/cefetrjoficial;https://www.youtube.com/channel/UCWwPb4o2HGyxi0QdUXbxpGg;https://twitter.com/cefet_rj;https://www.linkedin.com/school/25008864/;https://www.flickr.com/photos/cefetrj/albums;https://www.instagram.com/cefet_rj/
CPII;21503;https://www.facebook.com/cp2oficial;http://www.youtube.com/user/cp2oficial;https://twitter.com/cp2_oficial;https://www.linkedin.com/school/colegio-pedro-2/;null;https://instagram.com/cp2oficial
FURG;12;https://www.facebook.com/furgoficial;https://www.youtube.com/furgoficial;https://twitter.com/furg;null;null;https://www.instagram.com/furgoficial/
IF FARROUPILHA;4098;https://www.facebook.com/iffarroupilha/;https://www.youtube.com/channel/UCjaFM_ZJqxF7RywwvMn8_eQ;null;null;null;https://www.instagram.com/if.farroupilha/
IFAC;15507;https://www.facebook.com/ifacoficial;https://www.youtube.com/ifacoficial;https://www.twitter.com/ifacoficial;null;null;https://www.instagram.com/ifacoficial
IFAL;3160;http://facebook.com/ifal.oficial;https://www.youtube.com/channel/UC6MCJM2Pg-3YHTH-79fdwsg;https://twitter.com/ifal_oficial;null;null;http://instagram.com/ifal.oficial
IFAM;1812;http://facebook.com/ifamoficial?fref=ts&_rdr;https://www.youtube.com/user/tvifamoficial;null;null;null;https://www.instagram.com/ifam_oficial/
IFAP;15522;http://www.facebook.com/institutofederaldoamapa/?fref=ts;http://youtube.com/tvifap;https://twitter.com/ifap_oficial;null;null;https://www.instagram.com/ifapoficial/
IFB;14408;https://www.facebook.com/ifbrasilia;https://www.youtube.com/channel/UC23eWxl4L_Uzx9w8tFDfoEw;https://twitter.com/ifbnoticias;null;null;https://instagram.com/ifbrasilia/
IFBA;599;http://facebook.com/institutofederaldabahia;https://www.youtube.com/channel/UCyCPdBXqatYjrOhqY0k3sMQ;https://twitter.com/ifbaoficial;null;null;http://instagram.com/ifbaoficial
IFBaiano;14509;https://www.facebook.com/ifbaiano.oficial;https://www.youtube.com/ifbaianooficial;https://twitter.com/ifbaianooficial;null;null;https://instagram.com/ifbaiano
IFC;5036;https://www.facebook.com/ifc.oficial;https://www.youtube.com/user/ifcatarinense;null;null;null;https://www.instagram.com/ifc.oficial/
IFCE;1807;https://www.facebook.com/instituto-federal-de-educa%c3%a7%c3%a3o-ci%c3%aancia-e-tecnologia-do-cear%c3%a1-ifce-471223182903300/;http://youtube.com/ifcecoficialcomunica;https://twitter.com/ifce_;null;http://flickr.com/reitoriaifce;http://instagram.com/ifceoficial
IFES;1808;https://www.facebook.com/ifesoficial/;https://www.youtube.com/ifesinstitutofederaldoespiritosanto;https://twitter.com/ifesoficial;https://www.linkedin.com/school/ifesoficial/;https://www.flickr.com/people/ifesoficial;https://www.instagram.com/ifesoficial/
IFF;1120;http://facebook.com/iffluminense;http://youtube.com/ifftubeoficial;https://twitter.com/iffluminense;null;null;http://instagram.com/iffluminense
IFG;1811;https://www.facebook.com/ifg.oficial?_rdr=p;https://www.youtube.com/c/ifgoficial/;https://twitter.com/ifg_goias;null;null;https://www.instagram.com/ifg_oficial/
IFGoiano;1303;http://facebook.com/ifgoiano;http://youtube.com/ifgoiano;https://twitter.com/ifgoiano;null;http://flickr.com/ifgoiano;http://instagram.com/ifgoiano
IFMA;600;https://www.facebook.com/ifma.oficial/;https://www.youtube.com/user/ifmaoficial;null;null;null;https://www.instagram.com/ifma.oficial/
IFMG;3189;http://facebook.com/ifmgnarede;http://youtube.com/comunicacaoifmg;https://twitter.com/ifmgnarede;null;null;http://instagram.com/ifmgnarede
